Word,Length
rhombus,7
satiety,7
split personality,17
grounder,8
vigilant,8
yap,3
sway,4
orientation,11
ingenuity,9
spelling bee,12
con man,7
frog,4
anvil,5
ballad,6
crow's-foot,11
shelf,5
clasp,5
amalgamation,12
sic,3
sulfuric,8
wrangle,7
seduce,6
water fountain,14
dumpy,5
staircase,9
purification,12
retrospection,13
zany,4
exasperation,12
withdrew,8
abrogate,8
organdy,7
insouciance,11
portentous,10
hanker,6
Roman Catholic,14
lab,3
right angle,11
tweeter,7
cough drop,10
Holstein,8
spongy,6
inundation,10
jujitsu,7
lifework,8
sit,3
immune,6
glean,5
bedeck,6
guardrail,9
lampoon,7
agreeable,9
free will,9
vascular,8
lie detector,12
disprove,8
trombonist,10
nanny goat,10
August,6
marksman,8
devise,6
portrayal,9
and/or,6
operation,9
chopsticks,10
unassisted,10
genitals,8
electioneer,11
durability,10
poliomyelitis,13
vat,3
vacuum,6
sunroof,7
team,4
bookmobile,10
accordingly,11
shaky,5
chalk,5
pure,4
cahoots,7
taught,6
tingle,6
tune-up,7
blameworthy,11
retrorocket,11
swim,4
dogfish,7
alkaline,8
machismo,8
comatose,8
leviathan,9
limestone,9
ritual,6
half-life,9
hauteur,7
taffy,5
honey,5
receptor,8
tie-up,6
keratin,7
